P1	P2	P4	P6	P7	P3	P5	P8	P9	P10	TOTAL	gender	age	source	country
2	1	2	1	0	0	0	1	0	0	7	2	21	3	US
2	2	3	1	1	2	2	1	1	2	17	2	24	1	US
3	2	2	1	1	2	2	2	1	3	19	1	24	1	US
3	3	3	3	3	3	3	3	3	3	30	2	30	1	US
2	2	2	2	2	2	3	1	1	3	20	1	36	1	US
3	3	2	2	2	3	3	3	3	3	27	1	51	3	US
3	3	3	3	3	0	0	0	3	1	19	2	24	3	GR
3	3	2	2	2	1	2	1	0	0	16	1	41	3	US
2	2	2	2	1	1	0	0	1	1	12	2	23	3	RO
1	2	1	0	0	0	1	0	0	0	5	1	25	3	IL
3	3	3	3	3	3	3	3	3	3	30	1	34	1	US
2	2	2	2	1	1	1	1	1	1	14	1	41	1	GB
3	3	2	2	3	3	3	3	2	3	27	2	24	1	US
2	2	3	0	0	2	2	1	1	0	13	2	31	1	GB
1	1	1	1	1	1	1	1	1	1	10	1	17	1	US
3	2	2	3	3	2	3	1	1	3	23	2	18	3	IN
2	0	0	1	0	2	0	0	0	1	6	1	37	3	AU
3	2	1	1	1	2	1	1	1	3	16	2	20	1	US
2	2	2	2	1	1	0	1	2	2	15	1	19	1	MY
2	2	1	1	1	1	1	0	1	1	11	1	22	3	US
1	2	1	0	0	2	1	1	2	2	12	2	43	1	US
2	2	1	2	2	2	2	2	2	2	19	2	61	3	US
1	2	2	0	1	1	2	0	1	1	11	2	22	3	US
3	3	0	2	1	1	1	0	1	1	13	2	39	1	US
3	3	2	3	3	1	3	3	2	2	25	1	42	1	US
3	2	2	2	2	3	3	2	2	2	23	2	42	3	GB
3	3	2	2	2	2	2	1	2	2	21	1	19	1	NZ
2	2	2	0	1	2	1	1	1	1	13	1	28	1	CA
3	3	3	2	2	2	3	1	2	3	24	1	23	3	US
2	2	1	1	1	0	0	2	0	0	9	2	55	3	GB
2	1	0	2	0	1	1	2	1	1	11	1	42	1	NL
3	3	3	3	2	3	3	2	3	3	28	1	22	3	DK
2	2	1	2	2	1	2	1	0	1	14	2	23	3	FI
3	3	2	2	2	2	1	0	2	2	19	2	40	3	US
2	3	3	2	2	3	3	3	3	2	26	2	22	1	DE
1	3	2	1	0	1	1	1	1	1	12	2	24	3	US
1	2	1	1	0	0	1	1	1	2	10	1	31	3	US
2	2	2	1	1	2	1	1	0	1	13	1	28	1	US
3	2	3	2	2	2	2	1	1	2	20	2	31	3	GB
3	2	1	2	2	2	2	2	1	2	19	1	22	1	DE
2	2	3	0	0	0	0	2	0	1	10	2	32	3	SG
3	3	3	3	2	3	3	3	3	3	29	2	24	3	GB
1	2	1	1	2	1	1	2	1	1	13	1	30	3	GB
2	2	3	2	2	2	2	2	2	2	21	2	22	3	US
2	2	2	2	1	2	2	2	2	2	19	1	19	3	US
3	3	3	3	2	3	3	3	3	3	29	2	37	3	US
3	3	3	3	3	3	3	3	3	3	30	2	21	3	US
3	3	3	2	1	2	3	1	0	0	18	1	14	1	US
3	2	3	3	3	3	3	3	1	0	24	2	23	1	IN
2	2	1	2	2	2	1	2	2	1	17	2	17	1	SG
