"","Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","TIPI1","TIPI2","TIPI3","TIPI4","TIPI5","TIPI6","TIPI7","TIPI8","TIPI9","TIPI10","VCL1","VCL2","VCL3","VCL4","VCL5","VCL6","VCL7","VCL8","VCL9","VCL10","VCL11","VCL12","VCL13","VCL14","VCL15","VCL16","testelapse","T1"
"70197",4,5,3,4,4,4,3,4,3,2,5,5,4,4,3,4,4,5,5,4,5,6,6,3,7,2,5,7,3,6,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"178",79
"70198",4,1,1,3,5,3,1,1,1,1,3,1,1,5,1,3,3,1,3,5,7,4,7,4,4,3,4,7,4,6,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,"383",47
"70199",4,4,2,2,1,2,5,1,3,5,5,1,3,5,5,1,5,4,5,1,1,4,5,7,6,1,3,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,"668",64
"70200",3,1,5,5,2,5,5,4,3,4,5,5,3,5,1,5,5,5,5,3,2,5,3,6,6,2,3,3,6,5,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,"134",79
"70201",4,4,2,1,1,2,5,5,1,5,5,5,1,5,4,2,1,2,5,5,3,3,6,6,6,3,5,5,5,3,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,"390",65
"70202",5,5,5,4,4,5,5,4,4,5,5,5,5,4,4,5,2,5,5,4,6,3,3,4,6,5,4,3,5,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"158",90
"70203",5,5,2,1,5,2,4,5,1,1,4,5,5,5,4,4,2,4,4,5,3,2,7,1,6,1,6,3,2,2,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,"356",73
"70204",1,1,2,4,5,2,2,4,1,2,2,1,1,1,5,4,4,3,5,1,2,6,6,4,7,2,6,5,5,6,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,"124",51
"70205",2,5,4,5,4,2,4,2,4,2,4,4,4,2,4,5,4,2,5,2,2,3,6,7,6,2,5,7,3,7,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,"183",70
"70206",1,1,1,1,5,1,1,3,1,1,3,1,4,2,1,2,1,1,3,3,7,3,7,3,7,7,6,1,6,7,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,"208",37
"70207",5,1,4,5,4,5,5,5,5,1,3,4,4,4,4,4,5,1,5,5,6,3,6,3,7,6,1,6,6,6,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"198",79
"70208",2,1,3,4,3,1,3,3,1,1,3,3,4,2,4,1,3,3,4,5,4,5,6,1,7,1,5,1,2,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"185",54
"70209",3,2,4,3,4,2,5,2,2,3,5,2,1,3,4,1,3,4,5,1,2,6,6,1,5,1,6,3,3,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"161",59
"70210",5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,3,5,5,2,3,3,1,2,5,5,5,1,1,6,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,"117",92
"70211",1,1,1,2,1,1,2,1,1,1,5,1,1,4,1,1,3,1,1,5,4,6,6,1,6,3,7,3,5,7,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,"240",35
