"","Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","TIPI1","TIPI2","TIPI3","TIPI4","TIPI5","TIPI6","TIPI7","TIPI8","TIPI9","TIPI10","VCL1","VCL2","VCL3","VCL4","VCL5","VCL6","VCL7","VCL8","VCL9","VCL10","VCL11","VCL12","VCL13","VCL14","VCL15","VCL16","testelapse","T1"
"70861",2,2,1,5,2,5,5,4,2,1,5,5,3,4,4,5,3,4,5,2,3,4,2,1,4,2,5,3,2,7,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,"116",69
"70862",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,6,7,7,4,5,6,7,7,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,"111",100
"70863",2,4,4,2,1,4,4,4,4,4,5,1,4,4,4,4,3,5,5,1,6,6,2,3,7,3,6,6,5,6,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"136",69
"70864",1,1,3,1,1,2,4,1,1,1,2,1,1,1,4,1,4,1,5,1,6,5,7,7,6,3,7,3,7,6,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,"136",37
"70865",1,1,5,5,5,5,5,1,1,5,5,5,5,5,1,1,5,5,1,1,3,6,5,7,3,3,5,2,6,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,"129",68
"70866",4,5,3,4,5,3,5,5,3,3,5,3,4,5,5,5,5,5,5,4,6,4,6,6,6,6,7,7,5,7,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"354",86
"70867",5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,5,5,2,2,5,6,7,3,5,6,7,7,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,"128",95
"70868",5,4,3,5,5,4,4,5,1,4,5,5,4,5,4,4,4,4,5,5,2,2,7,6,7,1,5,5,7,4,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,"142",85
"70869",4,5,4,5,4,5,5,3,5,1,5,5,5,5,5,1,5,5,5,4,7,6,6,7,5,5,4,6,7,6,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"229",86
"70870",2,4,2,5,4,4,4,1,2,4,5,1,2,5,4,1,5,2,5,1,1,6,6,6,5,1,6,7,7,7,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,"222",63
"70871",2,5,1,3,5,1,4,1,1,3,5,1,1,5,1,1,2,5,5,3,2,3,6,6,6,6,7,2,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"667",55
"70872",2,4,1,2,4,1,4,2,1,2,5,5,2,2,3,1,1,4,4,2,3,3,6,7,7,2,6,3,7,6,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,"280",52
"70873",4,4,5,4,4,4,5,4,2,2,4,5,4,4,4,2,1,4,5,3,1,5,5,1,5,1,6,5,2,2,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,"95",74
"70874",1,1,1,3,1,4,4,1,1,1,1,4,1,5,1,5,1,1,4,1,3,2,6,3,7,3,2,7,2,7,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,"213",42
"70875",5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,4,5,4,5,4,2,2,7,3,6,1,7,7,6,5,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,"970",94
"70876",4,4,5,4,4,5,5,5,5,5,4,5,5,5,4,5,5,5,3,4,1,6,4,4,6,1,4,6,6,5,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,"417",91
"70877",4,3,2,4,5,1,1,1,1,1,5,4,1,5,2,3,3,4,4,1,5,6,1,1,7,4,7,3,3,5,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,"142",55
"70878",5,1,4,2,4,4,4,2,1,4,5,2,2,5,4,5,2,4,5,2,3,3,7,7,7,5,5,6,3,7,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,"118",67
"70879",1,1,1,1,1,1,2,1,1,1,5,1,2,1,1,4,3,4,5,1,4,7,7,7,7,3,7,5,7,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"178",38
"70880",4,4,3,3,5,3,4,5,3,4,4,4,5,3,5,5,3,4,5,3,3,5,4,5,2,3,5,6,6,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,"324",79
"70881",4,4,3,4,4,3,4,3,3,2,4,2,2,4,3,4,3,4,3,3,2,3,5,5,5,2,5,5,2,3,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,"198",66
"70882",1,4,4,4,2,5,4,1,2,2,5,1,1,5,1,4,2,2,5,2,6,5,5,4,6,5,5,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"361",57
"70883",5,2,5,2,5,4,4,4,3,4,1,5,2,4,5,4,3,2,5,1,5,6,6,6,6,6,7,7,7,7,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,"360",70
"70884",1,1,3,1,4,2,5,1,1,1,3,4,1,4,5,1,2,3,2,1,6,1,6,2,6,4,6,7,6,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,"1420",46
"70885",2,1,3,5,1,2,4,1,1,1,5,4,2,5,2,5,4,1,5,2,2,3,6,1,4,1,4,6,2,7,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,"125",56
"70886",4,4,4,1,4,1,2,1,3,1,4,2,1,3,4,2,1,5,5,1,6,3,6,2,6,6,7,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"265",53
